compound: 0.6249, neg: 0.0, neu: 0.747, pos: 0.253, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3612, neg: 0.0, neu: 0.762, pos: 0.238, 
compound: 0.6114, neg: 0.046, neu: 0.753, pos: 0.201, 
compound: 0.128, neg: 0.0, neu: 0.828, pos: 0.172, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.128, neg: 0.103, neu: 0.897, pos: 0.0, 
compound: 0.296, neg: 0.114, neu: 0.652, pos: 0.234, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.3431, neg: 0.297, neu: 0.581, pos: 0.122, 
compound: 0.2263, neg: 0.0, neu: 0.881, pos: 0.119, 
compound: 0.4404, neg: 0.0, neu: 0.755, pos: 0.245, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.7579, neg: 0.517, neu: 0.483, pos: 0.0, 
compound: 0.5267, neg: 0.0, neu: 0.82, pos: 0.18, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3818, neg: 0.0, neu: 0.755, pos: 0.245, 
compound: -0.1027, neg: 0.241, neu: 0.648, pos: 0.111, 
compound: 0.2023, neg: 0.0, neu: 0.357, pos: 0.643, 
compound: 0.6115, neg: 0.0, neu: 0.734, pos: 0.266, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.821, pos: 0.179, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.3818, neg: 0.56, neu: 0.2, pos: 0.24, 
compound: -0.25, neg: 0.087, neu: 0.913, pos: 0.0, 
